Provience,City,CompanyShortName,IndustryField,Upper class of industry
江苏,南京市,北京昊合数据科技有限公司,医疗健康 · 数据服务,"IT技术,生活服务"
江苏,南京市,南京矽汇信息技术有限公司,医疗健康 · 生活服务,生活服务
江苏,南京市,成都兼职地带信息技术有限公司,招聘,生活服务
江苏,南京市,南京宜流信息咨询有限公司,移动互联网 · O2O,IT技术
江苏,南京市,山东博丽电子商务有限公司,移动互联网 · 电子商务,IT技术
江苏,南京市,南京摩虎网络科技有限公司,移动互联网 · O2O,IT技术
江苏,南京市,江苏苏宁易购电子商务有限公司,电子商务,IT技术
江苏,南京市,客如云科技（北京）股份有限公司,移动互联网 · O2O,IT技术
江苏,南京市,南京灵动信息技术有限公司,移动互联网 · 广告营销,"IT技术,金融财经"
江苏,南京市,上海威士顿信息技术股份有限公司,移动互联网 · 企业服务,IT技术
江苏,南京市,江苏商派软件科技有限公司,电子商务 · 移动互联网,IT技术
江苏,南京市,广州达美网国际旅行社有限公司,电子商务,IT技术
江苏,南京市,浙江麦知网络科技有限公司,移动互联网 · 电子商务,IT技术
江苏,南京市,上海普景信息科技有限公司,移动互联网 · O2O,IT技术
江苏,南京市,上海车麦网络科技有限公司,电子商务,IT技术
江苏,南京市,南京丹田优里信息科技有限公司,移动互联网 · O2O,IT技术
江苏,南京市,南京欧欧信息科技有限公司,企业服务 · 数据服务,IT技术
江苏,南京市,南京亿兴电子商务有限公司,企业服务 · O2O,IT技术
江苏,南京市,南京大悦网络科技有限公司,O2O · 旅游,"IT技术,生活服务"
江苏,南京市,中兴软创科技股份有限公司,移动互联网,IT技术
江苏,南京市,上海家谐网络科技有限公司,O2O,IT技术
江苏,南京市,南京维瓦数字科技有限公司,移动互联网 · 企业服务,IT技术
江苏,南京市,南京极忆客教育科技有限公司,社交网络 · 教育,"IT技术,生活服务"
江苏,南京市,上海喔噻互联网科技有限公司,移动互联网,IT技术
江苏,南京市,南京好动信息科技有限公司,移动互联网 · O2O,IT技术
江苏,南京市,南京睿辰欣创网络科技有限责任公司,数据服务 · 分类信息,IT技术
江苏,南京市,柯莱特信息技术有限公司（上海）,企业服务 · 其他,IT技术
江苏,南京市,南京山点水智能科技有限公司,移动互联网,IT技术
江苏,南京市,上海万得信息技术股份有限公司,移动互联网 · 金融,"IT技术,金融财经"
江苏,南京市,南京易课信息技术有限公司,移动互联网 · 教育,"IT技术,生活服务"
江苏,南京市,江苏欣网视讯科技有限公司,移动互联网 · 企业服务,IT技术
江苏,南京市,南京大翼航空科技有限公司,其他,其他
江苏,南京市,南京汉恩数字互联文化股份有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
江苏,南京市,南京莱佛士教育科技有限公司,教育,生活服务
江苏,南京市,杭州蓝兔子网络技术有限公司西安分公司,移动互联网 · 企业服务,IT技术
江苏,南京市,江苏大泰信息技术有限公司,移动互联网 · 金融,"IT技术,金融财经"
江苏,南京市,芜湖蓝格网络技术有限公司,移动互联网 · O2O,IT技术
江苏,南京市,南京矫情货栈电子商务有限公司,电子商务,IT技术
江苏,南京市,南京磁宁网络科技有限公司,移动互联网,IT技术
江苏,南京市,南京高鹏投资有限公司图牛商城分公司,电子商务 · O2O,IT技术
江苏,南京市,南京奥加企业营销策划有限公司,企业服务 · 广告营销,"IT技术,金融财经"
江苏,南京市,江苏金智教育信息股份有限公司,移动互联网,IT技术
江苏,南京市,炫彩互动网络科技有限公司,移动互联网 · 游戏,IT技术
江苏,南京市,上海天脉聚源文化传媒有限公司,信息安全,IT技术
江苏,南京市,天津五八到家生活服务有限公司,O2O · 生活服务,"IT技术,生活服务"
江苏,南京市,南京智投新文化传媒有限公司,移动互联网,IT技术
江苏,南京市,江苏南亿迪纳数字科技发展有限公司,移动互联网 · 硬件,"IT技术,电子制造"
江苏,南京市,江苏孢子信息技术有限公司,社交网络,IT技术
江苏,南京市,南京首屏信息技术有限公司,移动互联网 · 教育,"IT技术,生活服务"
江苏,南京市,亚信科技（南京）有限公司,移动互联网 · 企业服务,IT技术
江苏,南京市,南京唯变信息技术有限公司,移动互联网 · 游戏,IT技术
江苏,南京市,南京天时中信息技术有限公司,移动互联网 · 企业服务,IT技术
江苏,南京市,福建联迪商用设备有限公司,移动互联网 · 硬件,"IT技术,电子制造"
江苏,南京市,南京泰泽信息技术有限公司,移动互联网,IT技术
江苏,南京市,北京快虎信息技术有限公司,移动互联网 · 企业服务,IT技术
江苏,南京市,江苏友邦软件有限公司,移动互联网 · 电子商务,IT技术
江苏,南京市,南京斯巴克软件科技有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
江苏,南京市,南京携众信息科技有限公司,移动互联网,IT技术
江苏,南京市,江苏兆米信息技术有限公司,移动互联网 · 企业服务,IT技术
江苏,南京市,江苏中地控股集团有限公司,移动互联网 · 金融,"IT技术,金融财经"
江苏,南京市,北京亿心宜行汽车技术开发服务有限公司,移动互联网 · O2O,IT技术
